Publication,Word,Frequency,Logo
foxnews,case,95,foxnews_logo.svg
foxnews,died,94,foxnews_logo.svg
foxnews,safety,94,foxnews_logo.svg
foxnews,injured,92,foxnews_logo.svg
foxnews,sentenced,92,foxnews_logo.svg
foxnews,charge,91,foxnews_logo.svg
foxnews,main,91,foxnews_logo.svg
foxnews,pakistan,91,foxnews_logo.svg
foxnews,dead,90,foxnews_logo.svg
foxnews,street,87,foxnews_logo.svg
foxnews,political,87,foxnews_logo.svg
foxnews,sentence,86,foxnews_logo.svg
foxnews,thousand,85,foxnews_logo.svg
foxnews,condition,84,foxnews_logo.svg
foxnews,rana plaza,84,foxnews_logo.svg
foxnews,outside,83,foxnews_logo.svg
foxnews,collapsed,83,foxnews_logo.svg
foxnews,blogger,83,foxnews_logo.svg
foxnews,world,82,foxnews_logo.svg
foxnews,law,81,foxnews_logo.svg
foxnews,hossain,81,foxnews_logo.svg
foxnews,collapse,81,foxnews_logo.svg
foxnews,arrest,80,foxnews_logo.svg
foxnews,late,79,foxnews_logo.svg
foxnews,largest,79,foxnews_logo.svg
foxnews,left,77,foxnews_logo.svg
foxnews,disaster,76,foxnews_logo.svg
foxnews,reported,75,foxnews_logo.svg
foxnews,general,74,foxnews_logo.svg
foxnews,camp,74,foxnews_logo.svg
foxnews,press,74,foxnews_logo.svg
foxnews,nextimage,73,foxnews_logo.svg
foxnews,supporter,73,foxnews_logo.svg
foxnews,inside,72,foxnews_logo.svg
foxnews,company,71,foxnews_logo.svg
foxnews,chief,70,foxnews_logo.svg
New York Times,dhaka,891,nytimes_logo.svg
New York Times,people,882,nytimes_logo.svg
New York Times,factory,841,nytimes_logo.svg
New York Times,country,826,nytimes_logo.svg
New York Times,government,801,nytimes_logo.svg
New York Times,police,718,nytimes_logo.svg
New York Times,group,645,nytimes_logo.svg
New York Times,worker,613,nytimes_logo.svg
New York Times,bangladeshi,590,nytimes_logo.svg
New York Times,state,508,nytimes_logo.svg
New York Times,official,497,nytimes_logo.svg
New York Times,garment,481,nytimes_logo.svg
New York Times,attack,431,nytimes_logo.svg
New York Times,party,427,nytimes_logo.svg
New York Times,building,415,nytimes_logo.svg
New York Times,leader,381,nytimes_logo.svg
New York Times,killed,380,nytimes_logo.svg
New York Times,man,358,nytimes_logo.svg
New York Times,death,350,nytimes_logo.svg
New York Times,right,347,nytimes_logo.svg
New York Times,safety,333,nytimes_logo.svg
New York Times,islam,328,nytimes_logo.svg
New York Times,million,316,nytimes_logo.svg
New York Times,killing,288,nytimes_logo.svg
New York Times,labor,288,nytimes_logo.svg
New York Times,industry,287,nytimes_logo.svg
New York Times,islamic,273,nytimes_logo.svg
New York Times,woman,267,nytimes_logo.svg
New York Times,home,264,nytimes_logo.svg
New York Times,member,249,nytimes_logo.svg
New York Times,family,244,nytimes_logo.svg
New York Times,international,244,nytimes_logo.svg
New York Times,world,238,nytimes_logo.svg
New York Times,war,235,nytimes_logo.svg
New York Times,capital,232,nytimes_logo.svg
New York Times,united,227,nytimes_logo.svg
New York Times,opposition,227,nytimes_logo.svg
New York Times,political,226,nytimes_logo.svg
New York Times,city,220,nytimes_logo.svg
New York Times,islamist,218,nytimes_logo.svg
New York Times,case,213,nytimes_logo.svg
New York Times,law,212,nytimes_logo.svg
New York Times,violence,211,nytimes_logo.svg
New York Times,blogger,209,nytimes_logo.svg
New York Times,retailer,207,nytimes_logo.svg
New York Times,life,207,nytimes_logo.svg
New York Times,company,206,nytimes_logo.svg
New York Times,election,203,nytimes_logo.svg
New York Times,local,202,nytimes_logo.svg
New York Times,muslim,202,nytimes_logo.svg
New York Times,authority,202,nytimes_logo.svg
New York Times,recent,198,nytimes_logo.svg
New York Times,militant,196,nytimes_logo.svg
New York Times,work,195,nytimes_logo.svg
New York Times,india,192,nytimes_logo.svg
New York Times,owner,189,nytimes_logo.svg
New York Times,activist,187,nytimes_logo.svg
New York Times,rohingya,183,nytimes_logo.svg
New York Times,protest,175,nytimes_logo.svg
